company_name,careers_url,ats_provider,ats_identifier,priority,enabled
Postman,https://www.postman.com/company/careers/,greenhouse,postman,5,true
Razorpay,https://razorpay.com/jobs/,greenhouse,razorpaysoftwareprivatelimited,5,true
Fivetran,https://www.fivetran.com/careers,greenhouse,fivetran,4,true
Cockroach Labs,https://www.cockroachlabs.com/careers/,greenhouse,cockroachlabs,4,true
Unity,https://unitytech.wd1.myworkdayjobs.com/Unity,workday,unitytech|Unity,4,true
Coupang,https://www.coupang.jobs/,greenhouse,coupang,4,true
Cohere Health,https://www.coherehealth.com/careers,greenhouse,coherehealth,4,true
EarnIn,https://www.earnin.com/careers,greenhouse,earnin,4,true
Crunchyroll,https://www.crunchyroll.com/about/jobs,greenhouse,crunchyroll,3,true
Celonis,https://www.celonis.com/careers/jobs,greenhouse,celonis,3,true
Pure Storage,https://www.purestorage.com/company/careers.html,greenhouse,purestorage,4,true
Plivo,https://www.plivo.com/careers/,lever,plivo,3,true
Hevo Data,https://hevodata.com/careers/,lever,hevodata,5,true
Warner Music Group,https://www.wmg.com/careers,lever,wmg,4,true
Zimperium,https://www.zimperium.com/careers,lever,zimperium,5,true
JumpCloud,https://jumpcloud.com/careers,lever,jumpcloud,4,true
Acceldata,https://www.acceldata.io/careers,lever,acceldata,5,true
Kobie,https://kobie.com/careers/,lever,kobie,3,true
Deel,https://www.deel.com/careers/,ashby,deel,3,true
Sarvam AI,https://www.sarvam.ai/careers,ashby,sarvam,5,true
Wisdom AI,https://www.wisdom.ai/careers,ashby,Wisdom-AI,4,true
SPAN,https://www.span.io/careers,ashby,span,3,true
Cardboard,https://www.cardboard.ai/careers,ashby,cardboard,3,true
Ambient.ai,https://ambient.ai/careers,ashby,ambient.ai,3,true
Ema,https://www.ema.co/careers,ashby,ema,4,true
Airbus,https://ag.wd3.myworkdayjobs.com/Airbus,workday,ag|Airbus,4,true
Intel,https://intel.wd1.myworkdayjobs.com/External,workday,intel|External,5,true
Lloyds Technology Centre,https://lbg.wd3.myworkdayjobs.com/Lloyds_Technology_Centre,workday,lbg|Lloyds_Technology_Centre,4,true
Visa,https://visa.wd5.myworkdayjobs.com/Visa,workday,visa|Visa,5,true
Thomson Reuters,https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site,workday,thomsonreuters|External_Career_Site,5,true
Genpact,https://genpact.wd108.myworkdayjobs.com/External_Careers,workday,genpact|External_Careers,4,true
FactSet,https://factset.wd108.myworkdayjobs.com/FactSetCareers,workday,factset|FactSetCareers,4,true
Broadridge,https://broadridge.wd5.myworkdayjobs.com/Careers,workday,broadridge|Careers,4,true
Aptiv,https://aptiv.wd5.myworkdayjobs.com/APTIV_CAREERS,workday,aptiv|APTIV_CAREERS,4,true
Perceptive,https://calyx.wd1.myworkdayjobs.com/Perceptive,workday,calyx|Perceptive,3,true
Danaher,https://danaher.wd1.myworkdayjobs.com/DanaherJobs,workday,danaher|DanaherJobs,4,true
Weir,https://weir.wd3.myworkdayjobs.com/Weir_External_Careers,workday,weir|Weir_External_Careers,3,true
Motorola Solutions,https://motorolasolutions.wd5.myworkdayjobs.com/Careers,workday,motorolasolutions|Careers,5,true
LSEG,https://lseg.wd3.myworkdayjobs.com/Careers,workday,lseg|Careers,4,true
Infios,https://infios.wd502.myworkdayjobs.com/Infios,workday,infios|Infios,3,true
LPL Financial,https://lplfinancial.wd1.myworkdayjobs.com/India_Ext,workday,lplfinancial|India_Ext,4,true
Epicor,https://epicorsoftware.wd5.myworkdayjobs.com/epicorjobs,workday,epicorsoftware|epicorjobs,4,true
Diageo,https://diageo.wd3.myworkdayjobs.com/Diageo_Careers,workday,diageo|Diageo_Careers,3,true
Franklin Templeton,https://franklintempleton.wd5.myworkdayjobs.com/Primary-External-1,workday,franklintempleton|Primary-External-1,4,true
Salesforce,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site,workday,salesforce|External_Career_Site,5,true
Sprinklr,https://sprinklr.wd1.myworkdayjobs.com/careers,workday,sprinklr|careers,4,true
ModMed,https://modmed.wd501.myworkdayjobs.com/ModMed12,workday,modmed|ModMed12,3,true
NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,workday,nvidia|NVIDIAExternalCareerSite,5,true
Medtronic,https://medtronic.wd1.myworkdayjobs.com/medtroniccareers,workday,medtronic|medtroniccareers,4,true
Silicon Labs,https://silabs.wd1.myworkdayjobs.com/SiliconLabsCareers,workday,silabs|SiliconLabsCareers,4,true
Rimini Street,https://riministreet.wd1.myworkdayjobs.com/riministreet,workday,riministreet|riministreet,3,true
AVEVA,https://aveva.wd3.myworkdayjobs.com/AVEVA_careers,workday,aveva|AVEVA_careers,4,true
Dell Technologies,https://dell.wd1.myworkdayjobs.com/External,workday,dell|External,5,true
HP,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite,workday,hp|ExternalCareerSite,4,true
HPE,https://hpe.wd5.myworkdayjobs.com/Jobsathpe,workday,hpe|Jobsathpe,5,true
Qualcomm,https://qualcomm.wd12.myworkdayjobs.com/External,workday,qualcomm|External,5,true
AMD,https://careers.amd.com/careers-home/jobs,custom,amd,5,true
Micron,https://micron.wd1.myworkdayjobs.com/External,workday,micron|External,5,true
Kyndryl,https://kyndryl.wd5.myworkdayjobs.com/KyndrylProfessionalCareers,workday,kyndryl|KyndrylProfessionalCareers,4,true
Autodesk,https://autodesk.wd1.myworkdayjobs.com/Ext,workday,autodesk|Ext,5,true
Synopsys,https://careers.synopsys.com/search-jobs,custom,synopsys,5,true
Cadence,https://cadence.wd1.myworkdayjobs.com/External_Careers,workday,cadence|External_Careers,5,true
Wells Fargo,https://wf.wd1.myworkdayjobs.com/WellsFargoJobs,workday,wf|WellsFargoJobs,4,true
S&P Global,https://spgi.wd5.myworkdayjobs.com/SPGI_Careers,workday,spgi|SPGI_Careers,4,true
Equifax,https://equifax.wd5.myworkdayjobs.com/External,workday,equifax|External,4,true
Sandisk,https://jobs.smartrecruiters.com/Sandisk,smartrecruiters,Sandisk,4,true
Bosch,https://jobs.smartrecruiters.com/BoschGroup,smartrecruiters,BoschGroup,5,true
ServiceNow,https://jobs.smartrecruiters.com/ServiceNow,smartrecruiters,ServiceNow,5,true
LinkedIn,https://jobs.smartrecruiters.com/LinkedIn3,smartrecruiters,LinkedIn3,5,true
Experian,https://jobs.smartrecruiters.com/Experian,smartrecruiters,Experian,4,true
Eurofins,https://jobs.smartrecruiters.com/Eurofins,smartrecruiters,Eurofins,3,true
Continental,https://jobs.smartrecruiters.com/Continental,smartrecruiters,Continental,4,true
Renesas Electronics,https://jobs.smartrecruiters.com/RenesasElectronics,smartrecruiters,RenesasElectronics,4,true
Ramboll,https://jobs.smartrecruiters.com/Ramboll3,smartrecruiters,Ramboll3,3,true
NielsenIQ,https://jobs.smartrecruiters.com/NielsenIQ,smartrecruiters,NielsenIQ,4,true
Ubisoft,https://jobs.smartrecruiters.com/Ubisoft2,smartrecruiters,Ubisoft2,4,true
Publicis Groupe,https://jobs.smartrecruiters.com/PublicisGroupe,smartrecruiters,PublicisGroupe,3,true
Palo Alto Networks,https://jobs.smartrecruiters.com/PaloAltoNetworks2,smartrecruiters,PaloAltoNetworks2,5,true
WNS,https://jobs.smartrecruiters.com/WNSGlobalServices,smartrecruiters,WNSGlobalServices,3,true
Sutherland,https://jobs.smartrecruiters.com/Sutherland,smartrecruiters,Sutherland,3,true
Nagarro,https://jobs.smartrecruiters.com/Nagarro,smartrecruiters,Nagarro,4,true
Devoteam,https://jobs.smartrecruiters.com/Devoteam,smartrecruiters,Devoteam,3,true
Avery Dennison,https://jobs.smartrecruiters.com/AveryDennison,smartrecruiters,AveryDennison,3,true
Hitachi Solutions,https://jobs.smartrecruiters.com/HitachiSolutions,smartrecruiters,HitachiSolutions,4,true
Turner & Townsend,https://jobs.smartrecruiters.com/TurnerTownsend,smartrecruiters,TurnerTownsend,3,true
Datadog,https://careers.datadoghq.com/,greenhouse,datadog,5,true
Cloudflare,https://www.cloudflare.com/careers/jobs/,greenhouse,cloudflare,5,true
Stripe,https://stripe.com/jobs,greenhouse,stripe,5,true
Twilio,https://www.twilio.com/company/jobs,greenhouse,twilio,4,true
Grafana Labs,https://grafana.com/about/careers/open-positions/,greenhouse,grafanalabs,4,true
Workday,https://workday.wd5.myworkdayjobs.com/Workday,workday,workday|Workday,4,true
General Motors,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM,workday,generalmotors|Careers_GM,4,true
Elastic,https://www.elastic.co/about/careers,greenhouse,elastic,4,true
Okta,https://www.okta.com/company/careers/,greenhouse,okta,5,true
MongoDB,https://www.mongodb.com/company/careers,greenhouse,mongodb,5,true
Rubrik,https://www.rubrik.com/company/careers,greenhouse,rubrik,5,true
New Relic,https://newrelic.com/about/careers,greenhouse,newrelic,4,true
Sumo Logic,https://www.sumologic.com/company/careers/,greenhouse,sumologic,4,true
Samsara,https://www.samsara.com/company/careers,greenhouse,samsara,4,true
Snowflake,https://careers.snowflake.com/us/en/search-results,custom,snowflake,5,true
Databricks,https://www.databricks.com/company/careers,greenhouse,databricks,5,true
Coinbase,https://www.coinbase.com/careers/positions,greenhouse,coinbase,3,true
Docker,https://jobs.ashbyhq.com/docker,ashby,docker,4,true
GitLab,https://about.gitlab.com/jobs/,greenhouse,gitlab,4,true
Vercel,https://vercel.com/careers,greenhouse,vercel,3,true
Amazon,https://www.amazon.jobs/search,custom,amazon,5,true
Google,https://www.google.com/about/careers/applications/jobs/results/,custom,google,5,true
Microsoft,https://jobs.careers.microsoft.com/global/en/search,custom,microsoft,5,true
Oracle,https://careers.oracle.com/jobs/,custom,oracle,5,true
SAP,https://jobs.sap.com/,custom,sap,5,true
Cisco,https://jobs.cisco.com/,custom,cisco,5,true
IBM,https://www.ibm.com/careers/search,custom,ibm,5,true
Accenture,https://www.accenture.com/in-en/careers/jobsearch,custom,accenture,4,true
Deloitte,https://southasiacareers.deloitte.com/,custom,deloitte,4,true
EY,https://careers.ey.com/,custom,ey,4,true
PwC,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers,workday,pwc|Global_Experienced_Careers,4,true
JPMorgan Chase,https://careers.jpmorgan.com/global/en/search-results,custom,jpmorgan,4,true
Goldman Sachs,https://higher.gs.com/,custom,goldmansachs,4,true
Target,https://jobs.target.com/,custom,target,4,true
Walmart Global Tech,https://careers.walmart.com/technology,custom,walmart,5,true
Flipkart,https://www.flipkartcareers.com/#!/joblist,custom,flipkart,5,true
PhonePe,https://www.phonepe.com/careers/job-openings/,custom,phonepe,5,true
Swiggy,https://careers.swiggy.com/,custom,swiggy,5,true
Zomato,https://www.zomato.com/careers,custom,zomato,4,true
Freshworks,https://careers.smartrecruiters.com/freshworks,smartrecruiters,freshworks,5,true
Neuron7,https://jobs.lever.co/neuron7,lever,neuron7,5,true
AiPrise,https://jobs.ashbyhq.com/aiprise,ashby,aiprise,5,true
Cermati,https://jobs.smartrecruiters.com/Cermaticom,smartrecruiters,Cermaticom,4,true
Speechify,https://job-boards.greenhouse.io/speechify,greenhouse,speechify,4,true
Dozee,https://jobs.lever.co/dozee,lever,dozee,5,true
Supa,https://jobs.ashbyhq.com/supa,ashby,supa,4,true
Baya Systems,https://job-boards.greenhouse.io/bayasystems,greenhouse,bayasystems,4,true
AiDASH,https://job-boards.greenhouse.io/aidashinc,greenhouse,aidashinc,5,true
Nirmata,https://job-boards.greenhouse.io/nirmata,greenhouse,nirmata,4,true
C3 AI,https://job-boards.greenhouse.io/c3iot,greenhouse,c3iot,5,true
Instawork,https://job-boards.greenhouse.io/instawork,greenhouse,instawork,4,true
Turing,https://job-boards.greenhouse.io/turing,greenhouse,turing,4,true
Sprinto,https://jobs.lever.co/Sprinto,lever,Sprinto,5,true
Cerebras Systems,https://jobs.ashbyhq.com/cerebras,ashby,cerebras,5,true
Meraki Labs,https://jobs.ashbyhq.com/Meraki-Labs,ashby,Meraki-Labs,4,true
Nanonets,https://jobs.ashbyhq.com/nanonets,ashby,nanonets,5,true
Avoca,https://jobs.ashbyhq.com/avoca,ashby,avoca,3,true
Bespoke Labs,https://jobs.ashbyhq.com/bespokelabs,ashby,bespokelabs,4,true
Enveda,https://jobs.lever.co/enveda,lever,enveda,5,true
Gradera,https://jobs.ashbyhq.com/gradera,ashby,gradera,4,true
Notion,https://jobs.ashbyhq.com/notion,ashby,notion,5,true
Plane,https://jobs.ashbyhq.com/plane,ashby,plane,4,true
Fourier,https://jobs.ashbyhq.com/fourier,ashby,fourier,4,true
